PID,PCS,CTS,COLID,DESCRIPTION,INTENSITY,OVERTONE,OVERTONE1,COLOR,CLARITY,SHAPE,FLU INT,FLU COLOR,FLU,POLISH,SYMMETRY,L,W,D,TD,LAB,REPORT NO,
BE-93         ,1,0.39,C174,FANCY BROWN-PINK,FANCY,,,BROWN-PINK,SI1,RADIANT,MEDIUM,BLUE,MB,EX,EX,4.05,4.02,2.7,67.16%,GIA,2166936088,
BE-91         ,1,1.21,C218,FANCY INTENSE GREEN-YELLOW,FANCY INTENSE,,,GREEN-YELLOW,VS1,CUSHION,FAINT,,F,EX,VG,5.93,5.73,3.94,68.76%,GIA,1169142914,
BE-76         ,1,0.50,C71,VERY LIGHT BLUE,VERY LIGHT,,,BLUE,VS1,ROUND,NONE,,N,VG,VG,4.97,4.95,3.18,64.24%,GIA,2101739902,
BE-75         ,1,1.01,C272,FANCY GRAY,FANCY,,,GRAY,I2,ROUND,NONE,,N,G,VG,6.35,6.33,4.05,63.98%,GIA,1169897454,
BE-72         ,1,1.63,C281,FANCY INTENSE GREEN-YELLOW,FANCY INTENSE,,,GREEN-YELLOW,SI2,CUSHION,STRONG,GREEN,SG,VG,G,6.89,5.96,4.12,69.13%,GIA,1169888875,
BE-67         ,1,5.01,,FANCY GRAYISH GREENISH YELLOW,FANCY,GRAYISH,GREENISH,YELLOW,VS2,CUSHION,STRONG,BLUE,SB,EX,G,9.71,9.1,6.29,69.12%,GIA,2146624354,
BE-58         ,1,4.02,P257,FANCY LIGHT BLUISH GREEN,FANCY LIGHT,BLUISH,,GREEN,VVS2,CUSHION,FAINT,,F,VG,VG,9.01,8.66,5.78,66.74%,GIA,2155928493,
BE-55         ,1,1.03,C281,FANCY LIGHT PURPLISH PINK,FANCY LIGHT,PURPLISH,,PINK,I1,OVAL,NONE,,N,VG,G,7.7,5.39,3.35,62.15%,GIA,1159094578,
BE-54         ,1,1.48,,FANCY LIGHT YELLOW,FANCY LIGHT,,,YELLOW,VS1,PEAR,NONE,,N,G,VG,8.19,6.38,3.9,61.13%,GIA,2166455555,
BE-53         ,1,4.00,,FANCY YELLOW,FANCY,,,YELLOW,VS1,CUSHION,NONE,,N,G,G,9.42,8.24,5.76,69.90%,GIA,2166454833,
BE-48         ,1,0.60,C71,FANCY LIGHT YELLOW-GREEN,FANCY LIGHT,,,YELLOW-GREEN,VS2,ROUND,VERY STRONG,BLUE,VSTB,VG,VG,5.45,5.43,3.28,60.41%,GIA,5146976598,
BE-47         ,1,0.52,C71,FANCY LIGHT GREEN-YELLOW,FANCY LIGHT,,,GREEN-YELLOW,VS2,ROUND,STRONG,BLUE,SB,EX,EX,5.17,5.16,3.2,62.02%,GIA,5136563624,
BE-46         ,1,0.39,C174,FANCY YELLOWISH GREEN,FANCY,YELLOWISH,,GREEN,SI1,RADIANT,NONE,,N,VG,VG,4.26,4.23,2.59,61.23%,GIA,1159160419,
BE-45         ,1,5.05,,FANCY GREENISH YELLOW,FANCY,GREENISH,,YELLOW,SI2,CUSHION,NONE,,N,G,G,10.6,8.65,6,69.36%,GIA,2156989884,
BE-44         ,1,4.03,,FANCY GRAYISH GREENISH YELLOW,FANCY,GRAYISH,GREENISH,YELLOW,VS2,CUSHION,NONE,,N,G,VG,8.86,8.37,5.88,70.25%,GIA,1169862355,
BE-43         ,1,3.01,,FANCY GREEN-YELLOW,FANCY,,,GREEN-YELLOW,VS1,CUSHION,NONE,,N,G,VG,8.33,7.37,5.25,71.23%,GIA,1159354568,
BE-42         ,1,1.85,,FANCY LIGHT YELLOW-GREEN,FANCY LIGHT,,,YELLOW-GREEN,SI1,RADIANT,NONE,,N,VG,VG,6.94,6.91,4.44,64.25%,GIA,5136493295,
BE-40         ,1,0.43,C174,FANCY LIGHT YELLOW-GREEN,FANCY LIGHT,,,YELLOW-GREEN,VVS1,RADIANT,STRONG,BLUE,SB,VG,VG,4.22,4.2,2.77,65.95%,GIA,2166889000,
BE-38         ,1,3.02,,FANCY LIGHT YELLOW,FANCY LIGHT,,,YELLOW,SI2,OVAL,NONE,,N,VG,G,10.03,7.26,5.07,69.83%,GIA,1179068049,
BE-28         ,1,1.33,,LIGHT BLUE,LIGHT,,,BLUE,VS1,RADIANT,FAINT,,F,VG,VG,6.22,6.2,3.94,63.55%,GIA,2135750496,
BE-27         ,1,0.62,C174,FANCY LIGHT YELLOW-GREEN,FANCY LIGHT,,,YELLOW-GREEN,VS1,RADIANT,STRONG,GREEN,SG,VG,VG,4.85,4.83,3.08,63.77%,GIA,2166827968,
BE-26         ,1,4.07,P257,FANCY GREEN-BLUE,FANCY,,,GREEN-BLUE,VS1,CUSHION,STRONG,BLUE,SB,G,VG,8.69,8.55,5.9,69.01%,GIA,6165067609,
BE-17         ,1,0.60,C174,VERY LIGHT PINK,VERY LIGHT,,,PINK,VS1,RADIANT,NONE,,N,VG,VG,4.69,4.68,3.12,66.67%,GIA,5146746059,
BE-16         ,1,0.53,C174,FAINT PINK,FAINT,,,PINK,SI1,RADIANT,NONE,,N,VG,VG,4.6,4.58,2.88,62.88%,GIA,2156330688,
BE-15         ,1,0.52,C174,VERY LIGHT PINK,VERY LIGHT,,,PINK,VVS1,RADIANT,NONE,,N,VG,VG,4.6,4.58,2.91,63.54%,GIA,2136863749,
BE-14         ,1,0.54,C71,VERY LIGHT PINK,VERY LIGHT,,,PINK,,ROUND,,,,,,5.29,5.26,3.14,59.70%,GIA,1122715454,
BE-11         ,1,1.50,,FANCY YELLOW-GREEN,FANCY,,,YELLOW-GREEN,VS1,OVAL,NONE,,N,EX,VG,7.78,5.82,4.09,70.27%,GIA,2145680768,
BE-01         ,1,2.83,,FANCY YELLOW-GREEN,FANCY,,,YELLOW-GREEN,VS1,CUSHION,NONE,,N,G,G,7.63,7.62,5.35,70.21%,GIA,2166280679,
BD-99         ,1,2.00,,FANCY GRAYISH YELLOWISH GREEN,FANCY,GRAYISH,YELLOWISH,GREEN,VS2,RADIANT,NONE,,N,VG,VG,7.32,7.25,4.51,62.21%,GIA,5166814075,
BD-96         ,1,1.76,P244,FANCY YELLOW-GREEN,FANCY,,,YELLOW-GREEN,SI1,RADIANT,NONE,,N,G,VG,6.8,6.77,4.34,64.11%,GIA,5136857154,
BD-95         ,1,1.74,,FANCY LIGHT YELLOW-GREEN,FANCY LIGHT,,,YELLOW-GREEN,SI2,RADIANT,VERY STRONG,BLUE,VSTB,G,G,6.82,6.82,4.34,63.64%,GIA,2166815742,
BD-94         ,1,1.74,P244,FANCY YELLOW-GREEN,FANCY,,,YELLOW-GREEN,SI1,RADIANT,NONE,,N,VG,VG,6.83,6.77,4.36,64.40%,GIA,5146182816,
BD-91         ,1,1.31,P259,FANCY LIGHT GRAYISH YELLOWISH GREEN,FANCY LIGHT,GRAYISH,YELLOWISH,GREEN,VS2,RADIANT,NONE,,N,VG,VG,6.14,6.14,3.93,64.01%,GIA,2146543888,
BD-90         ,1,1.31,P259,FANCY GRAYISH YELLOWISH GREEN,FANCY,GRAYISH,YELLOWISH,GREEN,SI1,RADIANT,NONE,,N,VG,G,6.14,6.13,3.94,64.27%,GIA,2146006159,
BD-88         ,1,1.14,,FANCY YELLOWISH GREEN,FANCY,YELLOWISH,,GREEN,VS2,CUSHION,NONE,,N,VG,VG,5.82,5.8,3.72,64.14%,GIA,2166172271,
BD-80         ,1,2.07,,FANCY YELLOW,FANCY,,,YELLOW,SI1,OVAL,NONE,,N,VG,G,8.84,6.44,4.49,69.72%,GIA,1159876903,
BD-76         ,1,1.31,C194,LIGHT GREEN-YELLOW,LIGHT,,,GREEN-YELLOW,SI1,PEAR,STRONG,BLUE,SB,G,VG,8.16,5.84,3.7,63.36%,GIA,5151771586,
BD-75         ,1,1.21,,FANCY LIGHT YELLOW-GREEN,FANCY LIGHT,,,YELLOW-GREEN,SI1,PEAR,NONE,,N,EX,VG,7.77,5.62,3.68,65.48%,GIA,1152724846,
BD-73         ,1,0.68,C174,FANCY YELLOW,FANCY,,,YELLOW,VVS1,RADIANT,NONE,,N,VG,VG,4.94,4.86,3.2,65.84%,GIA,1169791840,
BD-68         ,1,0.78,C174,FANCY LIGHT YELLOW-GREEN,FANCY LIGHT,,,YELLOW-GREEN,SI2,RADIANT,VERY STRONG,BLUE,VSTB,G,G,5.2,5.19,3.33,64.16%,GIA,2145346933,
BD-67         ,1,0.44,C174,LIGHT GREEN-YELLOW,LIGHT,,,GREEN-YELLOW,VVS1,RADIANT,STRONG,BLUE,SB,EX,VG,4.34,4.26,2.76,64.79%,GIA,2135718552,
BD-63         ,1,1.38,C281,FANCY INTENSE GREEN-YELLOW,FANCY INTENSE,,,GREEN-YELLOW,SI2,PEAR,STRONG,BLUE,SB,VG,G,8.77,5.93,3.62,61.05%,GIA,1169883273,
BD-61         ,1,2.01,,FANCY LIGHT YELLOW,FANCY LIGHT,,,YELLOW,SI2,OVAL,NONE,,N,VG,G,8.44,6.19,4.46,72.05%,GIA,2166822099,
BD-54         ,1,1.33,C281,FANCY LIGHT BLUISH GREEN,FANCY LIGHT,BLUISH,,GREEN,SI1,PEAR,MEDIUM,BLUE,MB,VG,G,7.97,5.77,3.93,68.11%,GIA,2155766928,
BD-49         ,1,0.35,C174,LIGHT GREEN,LIGHT,,,GREEN,SI1,RADIANT,FAINT,,F,VG,G,4,3.94,2.59,65.74%,GIA,1169786182,
BD-48         ,1,5.63,,FANCY YELLOW,FANCY,,,YELLOW,VS2,CUSHION,NONE,,N,VG,G,10.37,9.14,6.5,71.12%,GIA,5166983279,
BD-47         ,1,0.61,C174,FANCY LIGHT YELLOW-GREEN,FANCY LIGHT,,,YELLOW-GREEN,VS2,RADIANT,NONE,,N,VG,VG,4.78,4.75,3.04,64.00%,GIA,1169175152,
BD-44         ,1,1.51,C160,FANCY YELLOW,FANCY,,,YELLOW,VS1,OVAL,NONE,,N,VG,G,7.6,6.01,3.9,64.89%,GIA,2155749774,
BD-43         ,1,1.49,C160,FANCY YELLOW,FANCY,,,YELLOW,VS2,PEAR,NONE,,N,VG,VG,7.88,6.02,4.18,69.44%,GIA,2155743428,
BD-39         ,1,1.02,,FANCY GREENISH YELLOW,FANCY,GREENISH,,YELLOW,VS2,CUSHION,NONE,,N,VG,VG,6,5.15,3.67,71.26%,GIA,5166815412,
BD-38         ,1,1.02,,FANCY YELLOW,FANCY,,,YELLOW,IF,OVAL,MEDIUM,BLUE,MB,VG,G,7.13,5.29,3.31,62.57%,GIA,2176093385,
BD-35         ,1,1.63,C194,FANCY LIGHT GREEN-YELLOW,FANCY LIGHT,,,GREEN-YELLOW,VS1,CUSHION,STRONG,BLUE,SB,EX,G,6.71,6.34,4.38,69.09%,GIA,2156396041,
BD-34         ,1,0.76,C256,FANCY YELLOW,FANCY,,,YELLOW,VS2,MARQUISE,MEDIUM,BLUE,MB,G,G,9.69,4.67,2.9,62.10%,GIA,1169836709,
BD-32         ,1,0.75,C256,FANCY YELLOW,FANCY,,,YELLOW,SI2,PEAR,NONE,,N,VG,VG,7.55,5,3.37,67.40%,GIA,5166836763,
BD-31         ,1,0.87,C256,FANCY YELLOW,FANCY,,,YELLOW,VS2,CUSHION,FAINT,,F,VG,G,5.24,5.15,3.83,74.37%,GIA,2166836851,
BD-24         ,1,0.50,C71,VERY LIGHT GREEN,VERY LIGHT,,,GREEN,SI1,ROUND,MEDIUM,BLUE,MB,EX,VG,5.1,5.08,3.17,62.40%,GIA,2166133928,
BD-23         ,1,0.40,C71,VERY LIGHT GREEN,VERY LIGHT,,,GREEN,VVS2,ROUND,MEDIUM,GREEN,MG,EX,EX,4.74,4.71,2.95,62.63%,GIA,1169037893,
BD-22         ,1,0.40,C71,FAINT GREEN,FAINT,,,GREEN,SI2,ROUND,FAINT,,F,VG,VG,4.76,4.75,2.89,60.84%,GIA,2166037917,
BD-08         ,1,1.00,C194,FANCY LIGHT YELLOW-GREEN,FANCY LIGHT,,,YELLOW-GREEN,SI1,CUSHION,STRONG,BLUE,SB,G,G,5.56,5.31,3.9,73.45%,GIA,1169122061,
BD-01         ,1,2.55,C253,W-X,,,,W-X,VVS1,PEAR,NONE,,N,G,G,9.68,7.1,4.76,67.04%,GIA,2166126796,
BC-97         ,1,1.01,C281,FANCY INTENSE ORANGY YELLOW,FANCY INTENSE,ORANGY,,YELLOW,SI1,PEAR,STRONG,YELLOW,SY,G,G,7.31,5.28,3.56,67.42%,GIA,5156876848,
BC-96         ,1,1.14,,FANCY INTENSE YELLOW,FANCY INTENSE,,,YELLOW,SI1,PEAR,FAINT,,F,G,G,8.01,5.3,3.64,68.68%,GIA,2156632468,
BC-95         ,1,0.46,C71,VERY LIGHT GREEN,VERY LIGHT,,,GREEN,SI1,ROUND,NONE,,N,EX,EX,4.92,4.89,3.12,63.80%,GIA,1149779647,
BC-94         ,1,1.32,,FANCY GRAYISH YELLOWISH GREEN,FANCY,GRAYISH,YELLOWISH,GREEN,SI1,RADIANT,NONE,,N,VG,VG,6.21,6.19,3.91,63.17%,GIA,2166582860,
BC-90         ,1,1.00,C281,VERY LIGHT PINK,VERY LIGHT,,,PINK,SI2,RADIANT,MEDIUM,BLUE,MB,VG,VG,5.9,5.85,3.51,60.00%,GIA,1169011920,
BC-89         ,1,0.70,C71,FANCY LIGHT YELLOWISH GREEN,FANCY LIGHT,YELLOWISH,,GREEN,VS2,ROUND,STRONG,GREEN,SG,VG,G,5.59,5.55,3.54,63.78%,GIA,5136215895,
BC-88         ,1,0.61,C71,FANCY LIGHT YELLOW-GREEN,FANCY LIGHT,,,YELLOW-GREEN,VS2,ROUND,STRONG,GREEN,SG,EX,EX,5.46,5.45,3.39,62.20%,GIA,2136820106,
BC-86         ,1,1.52,C160,FANCY YELLOW,FANCY,,,YELLOW,VS1,CUSHION,NONE,,N,VG,VG,6.17,6.09,4.24,69.62%,GIA,1152711619,
BC-85         ,1,1.70,C160,FANCY YELLOW,FANCY,,,YELLOW,VS2,CUSHION,NONE,,N,VG,EX,6.51,6.34,4.54,71.61%,GIA,5151691566,
BC-83         ,1,1.38,,FANCY YELLOW,FANCY,,,YELLOW,VS2,PEAR,NONE,,N,VG,VG,8.01,5.74,3.92,68.29%,GIA,2155692122,
BC-80         ,1,0.63,C71,FANCY LIGHT YELLOW-GREEN,FANCY LIGHT,,,YELLOW-GREEN,SI1,ROUND,STRONG,GREEN,SG,G,VG,5.35,5.32,3.45,64.85%,GIA,5156095341,
BC-78         ,1,0.47,C207,LIGHT BLUE,LIGHT,,,BLUE,VS1,RADIANT,NONE,,N,G,G,4.4,4.41,2.76,62.59%,GIA,2156797007,
BC-75         ,1,0.40,C71,FANCY LIGHT GREEN-YELLOW,FANCY LIGHT,,,GREEN-YELLOW,SI1,ROUND,STRONG,YELLOW,SY,G,F,4.66,4.6,2.98,64.78%,GIA,2166464983,
BC-69         ,1,2.02,,LIGHT PINKISH BROWN,LIGHT,PINKISH,,BROWN,I1,CUSHION,NONE,,N,EX,G,6.6,6.51,5.07,77.88%,GIA,5166303436,
BC-68         ,1,1.51,,FANCY LIGHT YELLOW,FANCY LIGHT,,,YELLOW,VS2,OVAL,NONE,,N,VG,VG,7.25,5.98,4.18,69.90%,GIA,2155653190,
BC-65         ,1,0.61,C207,FANCY ORANGY PINK,FANCY,ORANGY,,PINK,I1,RADIANT,NONE,,N,VG,VG,4.77,4.75,3.04,64.00%,GIA,1169277666,
BC-64         ,1,0.73,C207,FANCY BROWNISH ORANGY PINK,FANCY,BROWNISH,ORANGY,PINK,SI2,RADIANT,NONE,,N,VG,VG,5.14,5.11,3.12,61.06%,GIA,2166277845,
BC-63         ,1,3.02,,LIGHT GREEN,LIGHT,,,GREEN,SI2,ROUND,NONE,,N,EX,EX,9.09,9.04,5.76,63.72%,GIA,2166260531,
BC-58         ,1,1.71,,FANCY GRAYISH YELLOWISH GREEN,FANCY,GRAYISH,YELLOWISH,GREEN,VS2,RADIANT,NONE,,N,VG,VG,6.88,6.78,4.25,62.68%,GIA,2166277926,
BC-52         ,1,1.09,,FANCY INTENSE YELLOW,FANCY INTENSE,,,YELLOW,SI1,CUSHION,NONE,,N,EX,VG,5.65,5.2,3.86,74.23%,GIA,2156633533,
BC-51         ,1,0.79,C174,LIGHT PINK,LIGHT,,,PINK,I1,RADIANT,STRONG,BLUE,SB,VG,G,5.37,5.36,3.25,60.63%,GIA,2141308451,
BC-48         ,1,3.04,,FANCY GREENISH YELLOW,FANCY,GREENISH,,YELLOW,VVS2,CUSHION,NONE,,N,G,G,8.57,7.57,5.32,70.28%,GIA,2156449549,
BC-47         ,1,1.51,,FANCY VIVID YELLOW-GREEN,FANCY VIVID,,,YELLOW-GREEN,VS2,CUSHION,VERY STRONG,GREEN,VSTG,EX,G,6.53,6.43,4.19,65.16%,GIA,2156777545,
BC-36         ,1,3.04,,FANCY YELLOW,FANCY,,,YELLOW,SI2,PEAR,STRONG,BLUE,SB,VG,G,13.99,7.54,4.4,58.36%,GIA,5166842695,
BC-35         ,1,0.76,C71,FANCY YELLOW,FANCY,,,YELLOW,SI1,ROUND,NONE,,N,G,G,5.74,5.71,3.66,64.10%,GIA,5136093150,
BC-34         ,1,0.57,C71,FANCY YELLOW,FANCY,,,YELLOW,VS2,ROUND,FAINT,,F,G,VG,5.27,5.25,3.28,62.48%,GIA,5136511628,
BC-30         ,1,0.80,C71,LIGHT GREEN,LIGHT,,,GREEN,VS2,ROUND,NONE,,N,VG,EX,5.93,5.9,3.71,62.88%,GIA,1159126843,
BC-29         ,1,0.70,C71,FANCY GREEN-YELLOW,FANCY,,,GREEN-YELLOW,SI1,ROUND,STRONG,WHITE,SW,EX,EX,5.69,5.66,3.56,62.90%,GIA,2146810496,
BC-28         ,1,0.60,C71,LIGHT PINK,LIGHT,,,PINK,SI2,ROUND,NONE,,N,EX,EX,5.41,5.38,3.34,62.08%,GIA,5136872374,
BC-27         ,1,0.59,C71,LIGHT GREENISH YELLOW,LIGHT,GREENISH,,YELLOW,VS1,ROUND,STRONG,BLUE,SB,EX,EX,5.37,5.35,3.38,63.18%,GIA,1149488163,
BC-26         ,1,0.59,C71,FANCY YELLOW,FANCY,,,YELLOW,VVS1,ROUND,NONE,,N,VG,EX,5.48,5.44,3.28,60.29%,GIA,14999447,
BC-25         ,1,0.50,C71,LIGHT PINK,LIGHT,,,PINK,I1,ROUND,STRONG,BLUE,SB,G,G,5.06,5.03,3.1,61.63%,GIA,2155394983,
BC-24         ,1,5.60,,FANCY YELLOW,FANCY,,,YELLOW,SI1,OVAL,MEDIUM,BLUE,MB,VG,VG,12,9.11,6.27,68.83%,GIA,5166790303,
BC-23         ,1,5.13,P125,FANCY YELLOW,FANCY,,,YELLOW,VS2,CUSHION,FAINT,,F,G,VG,9.44,8.67,6.69,77.16%,GIA,5156573577,
BC-18         ,1,1.44,,FANCY INTENSE GREEN,FANCY INTENSE,,,GREEN,VS1,CUSHION,MEDIUM,GREEN,MG,VG,G,6.75,6.01,4,66.56%,GIA,1149898578,
BC-15         ,1,1.01,C281,FANCY INTENSE ORANGY YELLOW,FANCY INTENSE,ORANGY,,YELLOW,VS2,HEART,STRONG,YELLOW,SY,VG,VG,5.55,6.66,4.16,62.46%,GIA,1159261846,
BC-12         ,1,5.05,P125,FANCY YELLOW,FANCY,,,YELLOW,SI1,RECTANGLE,NONE,,N,G,G,9.66,8.72,6.45,73.97%,GIA,1159334849,
BC-10         ,1,2.01,,FANCY YELLOW,FANCY,,,YELLOW,SI1,PEAR,NONE,,N,G,G,8.99,6.53,4.69,71.82%,GIA,1159279031,
BC-05         ,1,1.15,P110,Q-R,,,,Q-R,VVS2,ROUND,FAINT,,F,EX,EX,6.7,6.69,4.2,62.78%,GIA,1159110386,
BB-97         ,1,1.10,C194,LIGHT YELLOW GREEN,LIGHT,,,YELLOW GREEN,VS1,CUSHION,STRONG,BLUE,SB,VG,VG,5.51,5.49,4.03,73.41%,GIA,5146856509,
BB-94         ,1,1.01,,VERY LIGHT GREEN,VERY LIGHT,,,GREEN,VS1,SQUARE,STRONG,BLUE,SB,VG,G,5.53,5.46,3.7,67.77%,GIA,2146365078,
BB-93         ,1,1.00,C194,LIGHT GREEN-YELLOW,LIGHT,,,GREEN-YELLOW,SI1,CUSHION,VERY STRONG,,VST,G,G,6.37,5.32,3.34,62.78%,GIA,2136161330,
BB-90         ,1,1.50,C160,FANCY YELLOW,FANCY,,,YELLOW,SI1,CUSHION,NONE,,N,EX,G,6.01,5.87,4.66,79.39%,GIA,5146754675,
BB-87         ,1,1.51,C160,FANCY YELLOW,FANCY,,,YELLOW,VS2,CUSHION,NONE,,N,VG,G,6.29,6.12,4.34,70.92%,GIA,5146802204,
BB-86         ,1,1.02,C194,LIGHT YELLOW GREEN,LIGHT,,,YELLOW GREEN,VS2,OVAL,STRONG,GREEN,SG,VG,VG,7.53,5.56,3.73,67.09%,GIA,1149270782,
BB-72         ,1,2.66,,LIGHT GREENISH YELLOW,LIGHT,GREENISH,,YELLOW,SI1,CUSHION,NONE,,N,EX,G,8.13,7.54,4.82,63.93%,GIA,5146005973,
BB-71         ,1,1.29,C194,LIGHT YELLOW-GREEN,LIGHT,,,YELLOW-GREEN,SI2,CUSHION,STRONG,BLUE,SB,VG,G,5.98,5.81,4.03,69.36%,GIA,2146018072,
BB-70         ,1,2.36,,FANCY GRAYISH GREENISH YELLOW,FANCY,GRAYISH,GREENISH,YELLOW,,OVAL,,,,,,9.27,6.87,4.5,65.50%,GIA,2146012362,
BB-68         ,1,1.52,C194,FAINT GREEN,FAINT,,,GREEN,VS1,CUSHION,VERY STRONG,BLUE,VSTB,VG,G,6.62,6.16,4.03,65.42%,GIA,1149012084,
BB-66         ,1,1.20,C194,LIGHT GREEN,LIGHT,,,GREEN,,CUSHION,,,,,,6.57,5.33,3.79,71.11%,GIA,2146292614,
BB-60         ,1,1.71,C194,LIGHT YELLOW-GREEN,LIGHT,,,YELLOW-GREEN,,CUSHION,,,,,,6.77,6.41,4.16,64.90%,GIA,2146017880,
BB-59         ,1,3.19,,VERY LIGHT GREEN,VERY LIGHT,,,GREEN,SI1,CUSHION,VERY STRONG,BLUE,VSTB,EX,VG,8.05,7.98,5.35,67.04%,GIA,1149065181,
BB-57         ,1,2.81,,VERY LIGHT GREEN,VERY LIGHT,,,GREEN,VS2,HEART,VERY STRONG,BLUE,VSTB,VG,G,7.67,8.98,5.14,57.24%,GIA,5146017912,
BB-16         ,1,2.00,,FANCY YELLOW,FANCY,,,YELLOW,VS2,HEART,STRONG,BLUE,SB,G,G,8.21,7.96,4.04,50.75%,GIA,1139149901,
BB-06         ,1,1.60,C281,FANCY BROWN-PINK,FANCY,,,BROWN-PINK,VS2,HEART,STRONG,BLUE,SB,VG,G,7.18,7.92,4.42,55.81%,GIA,2136866413,
BB-04         ,1,1.54,,FANCY INTENSE YELLOW,FANCY INTENSE,,,YELLOW,SI1,OVAL,NONE,,N,VG,G,8.65,6.29,3.68,58.51%,GIA,5156066603,
BA-97         ,1,2.47,C255,FANCY GRAY,FANCY,,,GRAY,SI2,ROUND,NONE,,N,G,G,8.25,8.21,5.54,67.48%,GIA,2166814793,
BA-72         ,1,1.50,C194,LIGHT GREEN YELLOW,LIGHT,,,GREEN YELLOW,SI1,CUSHION,STRONG,BLUE,SB,VG,G,6.06,6.03,4.31,71.48%,GIA,2155065187,
BA-71         ,1,1.16,C131,FANCY LIGHT YELLOW,FANCY LIGHT,,,YELLOW,I2,HEART,MEDIUM,BLUE,MB,VG,VG,5.95,7.17,3.74,52.16%,GIA,5156392412,
BA-66         ,1,1.08,C281,FANCY LIGHT GREEN,FANCY LIGHT,,,GREEN,SI1,PEAR,STRONG,BLUE,SB,G,G,7.87,5.63,3.73,66.25%,GIA,5131802618,
BA-63         ,1,0.44,C71,FANCY GRAY-GREENISH YELLOW,FANCY,GRAY-GREENISH,,YELLOW,SI1,ROUND,STRONG,YELLOW,SY,G,G,4.85,4.89,3.02,61.76%,GIA,1149888655,
BA-60         ,1,1.01,,FANCY INTENSE YELLOW,FANCY INTENSE,,,YELLOW,SI1,TRILLIANT,NONE,,N,EX,VG,6.1,6.81,2.9,42.58%,GIA,2146034987,
BA-58         ,1,1.00,,FANCY INTENSE BLUISH GREEN,FANCY INTENSE,BLUISH,,GREEN,SI1,PEAR,MEDIUM,BLUE,MB,VG,G,8.45,5.2,3.41,65.58%,GIA,5141015966,
BA-55         ,1,0.91,,FANCY BLUISH GREEN,FANCY,BLUISH,,GREEN,SI1,PEAR,STRONG,BLUE,SB,VG,G,9.37,5.56,2.99,53.78%,GIA,1132842566,
BA-23         ,1,4.01,,LIGHT BLUE,LIGHT,,,BLUE,SI1,PEAR,NONE,,N,EX,G,14.1,8.02,5.19,64.71%,GIA,1122909051,
BA-22         ,1,0.90,C174,FANCY YELLOW-GREEN,FANCY,,,YELLOW-GREEN,SI1,RADIANT,STRONG,BLUE,SB,VG,G,5.32,5.24,3.58,68.32%,GIA,2135586536,
BA-10         ,1,2.01,,FANCY GREEN,FANCY,,,GREEN,,RADIANT,,,,,,7.74,6.71,4.23,63.04%,GIA,1132133712,
BA-09         ,1,1.32,,FANCY YELLOWISH GREEN,FANCY,YELLOWISH,,GREEN,,PEAR,,,,,,8.98,6.15,3.98,64.72%,GIA,2135045375,
BA-08         ,1,1.01,,,,,,,VVS1,PEAR,FAINT,,F,VG,VG,8.76,5.99,3.33,55.59%,GIA,5146290222,
BA-05         ,1,1.04,,FANCY VIVID YELLOW*,FANCY VIVID,,,YELLOW*,VS1,CUSHION,NONE,,N,VG,G,5.72,5.53,3.71,67.09%,GIA,5156968781,
