PID,PCS,CTS,COLID,DESCRIPTION,INTENSITY,OVERTONE,OVERTONE1,COLOR,CLARITY,SHAPE,FLU INT,FLU COLOR,FLU,POLISH,SYMMETRY,L,W,D,TD,LAB,REPORT NO,
DA-22D        ,1,1.50,,FANCY LIGHT YELLOW,FANCY LIGHT,,,YELLOW,VS2,PEAR,NONE,,N,EX,VG,9.11,6.33,3.99,63.03%,GIA,2166953642,
DA-21B        ,1,1.28,C281,FANCY YELLOW-GREEN,FANCY,,,YELLOW-GREEN,SI2,CUSHION,STRONG,GREEN,SG,VG,G,5.85,5.84,4.08,69.86%,GIA,5166623380,
DA-19K        ,1,2.54,,W-X,,,,W-X,VS1,CUSHION,NONE,,N,G,VG,7.55,7.31,5.06,69.22%,GIA,2166899739,
DA-19J        ,1,2.04,P270,W-X,,,,W-X,VS1,CUSHION,NONE,,N,G,VG,6.8,6.77,4.76,70.31%,GIA,5166938218,
DA-19I        ,1,2.02,P270,W-X,,,,W-X,SI1,CUSHION,FAINT,,F,G,G,6.92,6.79,4.84,71.28%,GIA,2166938550,
DA-19H        ,1,1.43,C275,Y-Z,,,,Y-Z,VS2,PEAR,NONE,,N,G,VG,8.63,6.14,3.76,61.24%,GIA,1169900217,
DA-19G        ,1,1.35,C275,W-X,,,,W-X,SI1,CUSHION,NONE,,N,VG,G,5.97,5.94,4.15,69.87%,GIA,5166925007,
DA-19F        ,1,1.29,C275,W-X,,,,W-X,VVS2,CUSHION,NONE,,N,G,VG,6.04,6.04,4.05,67.05%,GIA,1169854359,
DA-19E        ,1,1.08,C275,U-V,,,,U-V,VS2,HEART,NONE,,N,VG,VG,6.32,6.75,3.79,56.15%,GIA,1169954487,
DA-19D        ,1,1.04,C275,W-X,,,,W-X,VS2,OVAL,NONE,,N,G,G,7.25,4.99,3.46,69.34%,GIA,2166854811,
DA-19C        ,1,1.01,C275,S-T,,,,S-T,VS1,CUSHION,FAINT,,F,VG,G,5.3,5.2,3.73,71.73%,GIA,5166821631,
DA-19B        ,1,1.01,C275,W-X,,,,W-X,SI1,CUSHION,NONE,,N,G,G,5.74,5.62,3.68,65.48%,GIA,5166855929,
DA-19A        ,1,1.01,C275,O-P,,,,O-P,SI1,PEAR,NONE,,N,G,G,7.8,5.64,3.25,57.62%,GIA,1169899608,
DA-18C        ,1,0.71,C274,FANCY LIGHT YELLOW,FANCY LIGHT,,,YELLOW,VS2,PEAR,NONE,,N,VG,G,7.93,4.88,2.95,60.45%,GIA,5166887150,
DA-18B        ,1,0.70,C256,FANCY YELLOW,FANCY,,,YELLOW,SI1,PEAR,MEDIUM,BLUE,MB,VG,G,7.81,5.01,3.04,60.68%,GIA,5166934895,
DA-14E        ,1,1.51,,FANCY LIGHT YELLOW,FANCY LIGHT,,,YELLOW,SI1,PEAR,MEDIUM,BLUE,MB,G,G,9.14,5.78,3.66,63.32%,GIA,2166889308,
DA-11J        ,1,0.81,C256,FANCY YELLOW,FANCY,,,YELLOW,VS1,PEAR,NONE,,N,VG,G,7.11,4.98,3,60.24%,GIA,1152957829,
DA-11I        ,1,0.75,C256,FANCY YELLOW,FANCY,,,YELLOW,VS2,OVAL,NONE,,N,VG,G,6.14,4.87,3.3,67.76%,GIA,5151923560,
DA-11H        ,1,0.72,C256,FANCY YELLOW,FANCY,,,YELLOW,SI2,OVAL,MEDIUM,BLUE,MB,G,G,5.71,4.7,3.15,67.02%,GIA,1152923422,
DA-11G        ,1,0.71,C256,FANCY YELLOW,FANCY,,,YELLOW,SI2,PEAR,NONE,,N,VG,VG,6.84,4.55,3.21,70.55%,GIA,5151991505,
DA-11F        ,1,0.71,C256,FANCY YELLOW,FANCY,,,YELLOW,VS2,PEAR,NONE,,N,VG,VG,6.72,4.73,3.15,66.60%,GIA,5151886048,
DA-03C        ,1,0.85,C256,FANCY YELLOW,FANCY,,,YELLOW,VS1,CUSHION,NONE,,N,G,VG,5.28,5.19,3.48,67.05%,GIA,2166827233,
BH-80         ,1,3.34,,FANCY DEEP BROWNISH GREENISH YELLOW,FANCY DEEP,BROWNISH,GREENISH,YELLOW,SI1,HEART,NONE,,N,G,G,8.98,9.31,5.81,62.41%,GIA,2166779369,
BH-79         ,1,1.08,C275,U-V,,,,U-V,VS2,CUSHION,MEDIUM,BLUE,MB,G,G,6.01,5.36,3.7,69.03%,GIA,2156626832,
BH-76         ,1,2.49,,FANCY YELLOW,FANCY,,,YELLOW,VS2,OVAL,NONE,,N,G,G,8.85,7.24,4.76,65.75%,GIA,7151236649,
BH-52         ,1,9.00,,FANCY YELLOW-GREEN,FANCY,,,YELLOW-GREEN,SI1,CUSHION,NONE,,N,G,VG,10.78,10.77,8.02,74.47%,GIA,1169822242,
BH-42         ,1,1.01,,FANCY YELLOW,FANCY,,,YELLOW,SI1,OVAL,MEDIUM,BLUE,MB,VG,G,6.93,5.24,3.63,69.27%,GIA,2136764895,
BH-37         ,1,5.01,,FANCY YELLOW-GREEN,FANCY,,,YELLOW-GREEN,SI2,CUSHION,NONE,,N,G,VG,10.4,8.42,5.87,69.71%,GIA,5166820079,
BH-32         ,1,2.12,C252,U-V,,,,U-V,VS2,CUSHION,NONE,,N,VG,VG,7.3,6.62,4.75,71.75%,GIA,2156122905,
BH-31         ,1,2.08,C252,O-P,,,,O-P,VS1,CUSHION,NONE,,N,G,G,7.2,6.9,4.75,68.84%,GIA,1159805673,
BH-29         ,1,1.83,,FANCY YELLOW,FANCY,,,YELLOW,SI2,PEAR,MEDIUM,BLUE,MB,VG,G,9.97,6.78,4.45,65.63%,GIA,5166787275,
BH-26         ,1,1.20,,FANCY LIGHT YELLOW-GREEN,FANCY LIGHT,,,YELLOW-GREEN,VS1,CUSHION,STRONG,BLUE,SB,VG,G,5.99,5.86,3.82,65.19%,GIA,5136253112,
BH-24         ,1,1.01,,FANCY LIGHT YELLOW,FANCY LIGHT,,,YELLOW,SI1,PEAR,FAINT,,F,VG,G,7.29,5.25,3.56,67.81%,GIA,2166729517,
BH-12         ,1,5.02,,FANCY YELLOW,FANCY,,,YELLOW,SI1,CUSHION,NONE,,N,VG,VG,9.42,9.25,6.32,68.32%,GIA,2166860220,
BH-10         ,1,3.01,,W-X,,,,W-X,SI1,CUSHION,NONE,,N,G,G,8.26,7.56,5.54,73.28%,GIA,2166772775,
BH-08         ,1,2.02,C252,Y-Z,,,,Y-Z,VVS2,CUSHION,NONE,,N,G,VG,7.21,6.8,4.6,67.65%,GIA,2166790290,
BH-07         ,1,2.01,C252,Y-Z,,,,Y-Z,SI1,CUSHION,NONE,,N,G,G,7.44,6.63,4.48,67.57%,GIA,5166790428,
BH-04         ,1,1.40,,FANCY INTENSE YELLOW,FANCY INTENSE,,,YELLOW,VS2,RADIANT,NONE,,N,VG,G,7.11,5.21,3.92,75.24%,GIA,5166818170,
BG-92         ,1,1.19,,FANCY GRAYISH YELLOWISH GREEN,FANCY,GRAYISH,YELLOWISH,GREEN,VS2,CUSHION,NONE,,N,G,VG,5.91,5.71,3.91,68.48%,GIA,2155885124,
BG-91         ,1,1.02,,FANCY GREEN-YELLOW,FANCY,,,GREEN-YELLOW,VS2,PEAR,STRONG,BLUE,SB,VG,VG,7.57,5.38,3.39,63.01%,GIA,2155898611,
BG-90         ,1,1.01,,FANCY LIGHT YELLOW-GREEN,FANCY LIGHT,,,YELLOW-GREEN,VS1,CUSHION,STRONG,BLUE,SB,VG,G,5.66,5.59,3.69,66.01%,GIA,5151885841,
BG-84         ,1,3.00,,FANCY YELLOW,FANCY,,,YELLOW,SI1,PEAR,STRONG,BLUE,SB,VG,G,11.4,7.63,4.67,61.21%,GIA,1169752037,
BG-83         ,1,2.01,,FANCY YELLOW,FANCY,,,YELLOW,SI1,PEAR,NONE,,N,G,G,9.8,6.75,4.22,62.52%,GIA,1169753404,
BG-81         ,1,1.03,,FANCY YELLOW,FANCY,,,YELLOW,VS2,PEAR,STRONG,BLUE,SB,G,G,7.08,5.31,3.61,67.98%,GIA,2156420129,
BG-73         ,1,1.51,C245,FANCY BROWNISH YELLOW,FANCY,BROWNISH,,YELLOW,SI1,CUSHION,FAINT,,F,VG,G,6.47,6.24,4.28,68.59%,GIA,1159057247,
BG-72         ,1,1.51,C245,FANCY BROWNISH GREENISH YELLOW,FANCY,BROWNISH,GREENISH,YELLOW,SI1,CUSHION,NONE,,N,VG,VG,6.42,6.29,4.21,66.93%,GIA,2131338438,
BG-71         ,1,1.51,C245,FANCY BROWNISH GREENISH YELLOW,FANCY,BROWNISH,GREENISH,YELLOW,SI2,RADIANT,STRONG,YELLOW,SY,VG,F,7.75,5.14,3.83,74.51%,GIA,2135992343,
BG-70         ,1,1.50,C245,FANCY BROWNISH YELLOW,FANCY,BROWNISH,,YELLOW,VS2,CUSHION,STRONG,BLUE,SB,EX,G,6.44,6.02,4.3,71.43%,GIA,5141636466,
BG-69         ,1,1.50,C245,FANCY BROWNISH GREENISH YELLOW,FANCY,BROWNISH,GREENISH,YELLOW,VS1,CUSHION,NONE,,N,EX,VG,6.53,6.18,4.25,68.77%,GIA,2146900886,
BG-68         ,1,1.28,C245,FANCY BROWNISH GREENISH YELLOW,FANCY,BROWNISH,GREENISH,YELLOW,SI2,CUSHION,FAINT,,F,EX,VG,6.22,6.18,3.84,62.14%,GIA,2166676560,
BG-67         ,1,1.21,C245,FANCY BROWNISH GREENISH YELLOW,FANCY,BROWNISH,GREENISH,YELLOW,VVS2,CUSHION,FAINT,,F,VG,G,5.91,5.78,4.07,70.42%,GIA,2156897736,
